E_ 272445925
_T 218098830
TH 185371395
HE 170528873
S_ 161390688
_A 152120106
D_ 150072450
T_ 129957457
N_ 113340341
IN 107364497
_S 99439757
ER 98153399
AN 97640998
_O 95666393
_I 90631047
_W 88594521
RE 82626688
R_ 82553652
_H 82179175
Y_ 79822404
ND 70976684
ON 68528035
EN 63807472
_B 63343152
AT 61772973
O_ 60122980
F_ 60080683
ED 59166614
_C 58405975
_M 56055665
OF 54463816
OR 53974585
ES 53774379
HA 53592353
OU 53070636
_F 52992876
IS 52636491
IT 52266906
TO 52115583
AR 49723613
TE 48487484
HI 47624510
ST 47344398
NG 47124045
_P 46158689
AS 44970599
SE 42144105
H_ 41053612
_D 40825181
TI 40210962
LE 39866050
VE 39317685
NT 38754384
AL 38578311
G_ 38402347
L_ 37665147
A_ 36687621
ME 36616879
EA 35492287
_L 35072547
NE 34495080
LL 32872030
DE 32802882
_R 31605410
RO 31303790
RI 31280774
_E 30804420
_N 30663223
CO 30060721
CH 28925667
BE 28823158
CE 27244758
HO 27112176
LI 26671593
RA 26141229
_G 25706148
MA 25478835
EL 25312200
NO 25181895
UR 25114975
M_ 24870815
WA 24860906
OM 24738275
WH 24173675
IC 23992715
LA 23397382
IO 23296131
FO 22627087
US 22109053
UT 21691826
OT 21685522
AD 21610847
WI 21452574
IL 21382399
EE 20724999
SI 20674522
WE 20261624
LY 20099814
SH 20081998
TA 19919546
PE 19826903
CA 19723460
OW 19406161
ET 19362996
LO 19307356
UN 19183435
SO 18816393
AI 18707660
DI 18693679
RS 18163395
AC 17955181
NS 17902703
SS 17527331
I_ 17269218
IR 17069250
TR 16888595
GE 16502894
IE 16480465
UL 16477492
NC 16288072
IM 16117135
MO 16068492
RT 16011159
PR 15930528
EM 15547699
EC 15385493
ID 14909600
LD 14792422
OL 14721963
_Y 14634956
_U 14556188
PO 14422326
GH 14407697
SA 14319653
OO 14066470
AM 13763538
OS 13392561
PA 13372932
MI 13082244
KE 12994115
CT 12930478
NI 12896676
W_ 12792171
IG 12553457
AY 12510649
SU 12399312
K_ 12367775
WO 11979475
RY 11978020
AV 11943986
TS 11935341
DO 11310148
NA 11296716
EV 11276920
FI 11257667
YO 11224313
BU 11092257
_V 10948092
FR 10921763
FE 10918864
RD 10871334
PL 10324428
BL 10318329
TT 10287821
IV 10119751
